"Städte nach Fläche, Bevölkerung und Bevölkerungsdichte am 31.12.2024 (Jahr)",,,,,,,,
Laufende Nummer,Amtlicher Regionalschlüssel,Stadt,Postleitzahl ,Fläche km² ¹⁾,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ insgesamt,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ männlich,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ weiblich,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾             je km²
294,160700029029,"Ilmenau, Stadt",98693,  198.69, 38 834, 19 816, 19 018, 195
295,081195001008,"Backnang, Stadt",71522,  39.38, 38 818, 19 304, 19 514, 986
296,064380006006,"Langen (Hessen), Stadt",63225,  29.12, 38 785, 19 071, 19 714,1 332
297,082150017017,"Ettlingen, Stadt",76275,  56.75, 38 578, 18 636, 19 942, 680
298,053820044044,"Niederkassel, Stadt",53859,  35.79, 38 485, 18 952, 19 533,1 075
299,055580012012,"Coesfeld, Stadt",48653,  141.36, 38 237, 18 895, 19 342, 270
300,051700020020,"Kamp-Lintfort, Stadt",47475,  63.14, 38 217, 18 718, 19 499, 605
301,055660012012,"Greven, Stadt",48268,  140.26, 38 212, 18 683, 19 529, 272
302,055620016016,"Haltern am See, Stadt",45721,  159.03, 38 142, 18 648, 19 494, 240
303,053620040040,"Wesseling, Stadt",50389,  23.37, 38 106, 18 812, 19 294,1 631
304,150840550550,"Weißenfels, Stadt",06667,  113.96, 37 929, 18 498, 19 431, 333
305,064380009009,"Neu-Isenburg, Hugenotten- und Waldenserstadt",63263,  24.29, 37 926, 18 615, 19 311,1 561
306,150850135135,"Halberstadt, Stadt",38820,  143.27, 37 898, 18 349, 19 549, 265
307,150900535535,"Stendal, Hansestadt",39576,  269.24, 37 850, 18 469, 19 381, 141
308,055700052052,"Warendorf, Stadt",48231,  176.88, 37 703, 18 490, 19 213, 213
309,100440115115,"Saarlouis, Kreisstadt",66740,  43.30, 37 667, 18 345, 19 322, 870
310,146250020020,"Bautzen / Budyšin, Stadt",02625,  66.67, 37 566, 18 214, 19 352, 563
311,091790121121,"Fürstenfeldbruck, GKSt",82256,  32.52, 37 420, 18 252, 19 168,1 151
312,034540041041,"Papenburg, Stadt",26871,  118.44, 37 206, 18 916, 18 290, 314
313,091770117117,"Erding, GKSt",85435,  54.61, 37 171, 18 028, 19 143, 681
314,055700008008,"Beckum, Stadt",59269,  111.46, 37 133, 18 407, 18 726, 333
315,083275006050,"Tuttlingen, Stadt",78532,  90.45, 37 109, 18 596, 18 513, 410
316,082265008085,"Sinsheim, Stadt",74889,  126.99, 37 036, 18 456, 18 580, 292
317,033530040040,"Winsen (Luhe), Stadt",21423,  109.77, 36 961, 18 365, 18 596, 337
318,034540035035,"Meppen, Stadt",49716,  188.40, 36 930, 18 610, 18 320, 196
319,150820015015,"Bitterfeld-Wolfen, Stadt",06766,  87.23, 36 592, 17 778, 18 814, 419
320,034530004004,"Cloppenburg, Stadt",49661,  70.86, 36 565, 18 145, 18 420, 516
321,057700032032,"Porta Westfalica, Stadt",32457,  105.22, 36 521, 18 247, 18 274, 347
322,160640046046,"Mühlhausen/Thüringen, Stadt",99974,  151.03, 36 353, 17 780, 18 573, 241
323,055660008008,"Emsdetten, Stadt",48282,  72.06, 36 159, 18 021, 18 138, 502
324,064400003003,"Bad Vilbel, Stadt",61118,  25.68, 35 961, 17 571, 18 390,1 400
325,065330009009,"Limburg a. d. Lahn, Kreisstadt",65549,  45.16, 35 938, 17 708, 18 230, 796
326,081275002014,"Crailsheim, Stadt",74564,  109.08, 35 755, 18 153, 17 602, 328
327,051700044044,"Voerde (Niederrhein), Stadt",46562,  53.49, 35 661, 17 339, 18 322, 667
328,084175002002,"Balingen, Stadt",72336,  90.32, 35 623, 17 346, 18 277, 394
329,064380001001,"Dietzenbach, Kreisstadt",63128,  21.68, 35 561, 17 787, 17 774,1 640
330,055620008008,"Datteln, Stadt",45711,  66.10, 35 473, 17 386, 18 087, 537
331,100450117117,"St. Ingbert, Stadt",66386,  49.95, 35 453, 17 237, 18 216, 710
332,057660040040,"Lage, Stadt",32791,  76.04, 35 054, 17 291, 17 763, 461
333,092710119119,"Deggendorf, GKSt",94469,  77.14, 35 044, 17 751, 17 293, 454
334,073390030030,"Ingelheim am Rhein, Stadt",55218,  73.31, 35 016, 17 054, 17 962, 478
335,059620016016,"Hemer, Stadt",58675,  67.66, 35 005, 17 230, 17 775, 517
336,051540012012,"Geldern, Stadt",47608,  96.97, 34 962, 17 409, 17 553, 361
337,010560050050,"Wedel, Stadt",22880,  33.81, 34 912, 16 879, 18 033,1 033
338,051540016016,"Goch, Stadt",47574,  115.43, 34 907, 17 337, 17 570, 302
339,053580024024,"Jülich, Stadt",52428,  90.39, 34 890, 17 605, 17 285, 386
340,055660084084,"Steinfurt, Stadt",48565,  111.67, 34 860, 17 440, 17 420, 312
341,160540000000,"Suhl, Stadt",98527,  141.62, 34 685, 16 861, 17 824, 245
342,083365004069,"Rheinfelden (Baden), Stadt",79618,  62.84, 34 674, 17 013, 17 661, 552
343,051620020020,"Korschenbroich, Stadt",41352,  55.24, 34 600, 16 826, 17 774, 626
344,084265003021,"Biberach an der Riß, Stadt",88400,  72.15, 34 576, 17 051, 17 525, 479
345,010620001001,"Ahrensburg, Stadt",22926,  35.29, 34 534, 16 434, 18 100, 979
346,064310020020,"Viernheim, Stadt",68519,  48.41, 34 426, 16 928, 17 498, 711
347,150880220220,"Merseburg, Stadt",06217,  53.87, 34 392, 16 981, 17 411, 638
348,053780032032,"Wermelskirchen, Stadt",42929,  74.80, 34 375, 16 892, 17 483, 460
349,032410015015,"Seelze, Stadt",30926,  54.08, 34 364, 17 052, 17 312, 635
350,081155003021,"Herrenberg, Stadt",71083,  65.70, 34 192, 16 983, 17 209, 520
351,051660012012,"Kempen, Stadt",47906,  68.80, 34 105, 16 377, 17 728, 496
352,034570013013,"Leer (Ostfriesland), Stadt",26789,  70.11, 34 025, 16 510, 17 515, 485
353,081180046046,"Kornwestheim, Stadt",70806,  14.65, 33 980, 16 791, 17 189,2 319
354,032410002002,"Barsinghausen, Stadt",30890,  102.81, 33 941, 16 621, 17 320, 330
355,120735051532,"Schwedt/Oder, Stadt",16303,  360.74, 33 730, 16 405, 17 325, 94
356,034600009009,"Vechta, Stadt",49377,  87.89, 33 728, 16 836, 16 892, 384
357,010530032032,"Geesthacht, Stadt",21502,  33.25, 33 519, 16 446, 17 073,1 008
358,073200000000,"Zweibrücken, Stadt",66482,  70.64, 33 323, 16 525, 16 798, 472
359,094740126126,"Forchheim, GKSt",91301,  44.44, 33 017, 16 262, 16 755, 743
360,146270210210,"Radebeul, Stadt",01445,  26.14, 32 979, 15 904, 17 075,1 262
361,064400002002,"Bad Nauheim, Stadt",61231,  32.54, 32 894, 15 473, 17 421,1 011
362,033610001001,"Achim, Stadt",28832,  68.06, 32 870, 16 020, 16 850, 483
363,033600025025,"Uelzen, Hansestadt",29525,  136.84, 32 821, 15 898, 16 923, 240
364,010610046046,"Itzehoe, Stadt",25524,  28.54, 32 725, 15 895, 16 830,1 147
365,032560022022,"Nienburg (Weser), Stadt",31582,  64.53, 32 608, 15 829, 16 779, 505
366,064310013013,"Lampertheim, Stadt",68623,  72.27, 32 400, 15 927, 16 473, 448
367,083360091091,"Weil am Rhein, Stadt",79576,  19.46, 32 236, 15 783, 16 453,1 657
368,150850370370,"Wernigerode, Stadt",38855,  170.50, 32 167, 15 426, 16 741, 189
369,057740020020,"Delbrück, Stadt",33129,  157.28, 32 166, 16 267, 15 899, 205
370,120670144144,"Fürstenwalde/Spree, Stadt",15517,  70.67, 32 002, 15 917, 16 085, 453
371,120680320320,"Neuruppin, Stadt",16816,  305.19, 31 962, 15 492, 16 470, 105
372,150840355355,"Naumburg (Saale), Stadt",06618,  130.25, 31 940, 15 463, 16 477, 245
373,051540008008,"Emmerich am Rhein, Stadt",46446,  80.40, 31 829, 15 716, 16 113, 396
374,083350063063,"Radolfzell am Bodensee, Stadt",78315,  58.55, 31 734, 15 341, 16 393, 542
375,100420113113,"Merzig, Kreisstadt",66663,  108.98, 31 697, 15 920, 15 777, 291
376,064330008008,"Mörfelden-Walldorf, Stadt",64546,  44.13, 31 638, 15 814, 15 824, 717
377,055620028028,"Oer-Erkenschwick, Stadt",45739,  38.66, 31 404, 15 171, 16 233, 812
378,034590019019,"Georgsmarienhütte, Stadt",49124,  55.49, 31 244, 15 293, 15 951, 563
379,051700032032,"Rheinberg, Stadt",47495,  75.24, 31 172, 15 344, 15 828, 414
380,033520062062,"Geestland, Stadt",27607,  356.56, 31 093, 15 085, 16 008, 87
381,160770001001,"Altenburg, Stadt",04600,  45.69, 31 093, 14 825, 16 268, 681
382,032410003003,"Burgdorf, Stadt",31303,  112.56, 31 051, 14 994, 16 057, 276
383,033580024024,"Walsrode, Stadt",29664,  336.46, 31 019, 15 260, 15 759, 92
384,150890030030,"Bernburg (Saale), Stadt",06406,  113.92, 30 992, 15 114, 15 878, 272
385,053820028028,"Lohmar, Stadt",53797,  65.62, 30 992, 15 271, 15 721, 472
386,059700024024,"Kreuztal, Stadt",57223,  71.07, 30 905, 15 368, 15 537, 435
387,066320002002,"Bad Hersfeld, Kreisstadt",36251,  73.87, 30 846, 15 080, 15 766, 418
388,146250240240,"Hoyerswerda / Wojerecy, Stadt",02977,  94.99, 30 759, 14 675, 16 084, 324
389,010580135135,"Rendsburg, Stadt",24768,  23.75, 30 633, 15 544, 15 089,1 290
390,150890305305,"Schönebeck (Elbe), Stadt",39218,  86.52, 30 419, 14 848, 15 571, 352
391,064400008008,"Friedberg (Hessen), Kreisstadt",61169,  50.18, 30 409, 15 530, 14 879, 606
392,082155002007,"Bretten, Stadt",75015,  71.10, 30 274, 15 093, 15 181, 426
393,059780040040,"Werne, Stadt",59368,  76.14, 30 202, 14 568, 15 634, 397
394,071340045045,"Idar-Oberstein, Stadt",55743,  91.58, 30 170, 14 641, 15 529, 329
395,064390015015,"Taunusstein, Stadt",65232,  67.02, 30 145, 14 643, 15 502, 450
396,091850149149,"Neuburg a.d.Donau, GKSt",86633,  81.29, 30 135, 15 092, 15 043, 371
397,055700028028,"Oelde, Stadt",59302,  102.77, 30 129, 15 016, 15 113, 293
398,051580008008,"Haan, Stadt",42781,  24.19, 30 086, 14 368, 15 718,1 244
399,057540032032,"Rietberg, Stadt",33397,  110.31, 30 055, 15 094, 14 961, 272
400,071370003003,"Andernach, Stadt",56626,  53.34, 30 039, 15 003, 15 036, 563
401,059540012012,"Gevelsberg, Stadt",58285,  26.34, 30 006, 14 677, 15 329,1 139
402,097710130130,"Friedberg, St",86316,  81.25, 29 953, 14 604, 15 349, 369
403,093760161161,"Schwandorf, GKSt",92421,  123.80, 29 877, 14 961, 14 916, 241
404,081195006085,"Winnenden, Stadt",71364,  28.05, 29 876, 14 639, 15 237,1 065
405,031550013013,"Einbeck, Stadt",37574,  231.92, 29 751, 14 617, 15 134, 128
406,033560007007,"Osterholz-Scharmbeck, Stadt",27711,  147.17, 29 710, 14 536, 15 174, 202
407,059580032032,"Meschede, Kreis- und  Hochschulstadt",59872,  218.52, 29 615, 14 738, 14 877, 136
408,059740052052,"Werl, Stadt",59457,  76.35, 29 600, 15 113, 14 487, 388
409,082160015015,"Gaggenau, Stadt",76571,  65.01, 29 529, 14 547, 14 982, 454
410,120720240240,"Ludwigsfelde, Stadt",14974,  109.99, 29 514, 14 642, 14 872, 268
411,083165003011,"Emmendingen, Stadt",79312,  33.78, 29 502, 14 356, 15 146, 873
412,059540008008,"Ennepetal, Stadt der Kluterthöhle",58256,  57.77, 29 446, 14 236, 15 210, 510
413,146270230230,"Riesa, Stadt",01589,  58.91, 29 373, 14 047, 15 326, 499
414,064320008008,"Griesheim, Stadt",64347,  21.55, 29 309, 14 622, 14 687,1 360
415,091810130130,"Landsberg am Lech, GKSt",86886,  57.90, 29 257, 14 569, 14 688, 505
416,051660028028,"Tönisvorst, Stadt",47918,  44.34, 29 251, 14 316, 14 935, 660
417,053340008008,"Baesweiler, Stadt",52499,  27.84, 29 206, 14 158, 15 048,1 049
418,064380008008,"Mühlheim am Main, Stadt",63165,  20.67, 29 194, 14 459, 14 735,1 412
419,053660028028,"Mechernich, Stadt",53894,  136.48, 29 187, 14 643, 14 544, 214
420,055620036036,"Waltrop, Stadt",45731,  47.09, 29 177, 14 114, 15 063, 620
421,160730077077,"Saalfeld/Saale, Stadt",07318,  145.56, 29 086, 14 242, 14 844, 200
422,130720043043,"Güstrow, Barlachstadt",18273,  71.09, 28 959, 14 117, 14 842, 407
423,081185008073,"Vaihingen an der Enz, Stadt",71665,  73.40, 28 798, 14 204, 14 594, 392
424,064380012012,"Rödermark, Stadt",63322,  29.99, 28 753, 14 048, 14 705, 959
425,146270140140,"Meißen, Stadt",01662,  30.92, 28 753, 13 782, 14 971, 930
426,053780028028,"Rösrath, Stadt",51503,  38.80, 28 709, 14 027, 14 682, 740
427,032410017017,"Springe, Stadt",31832,  160.13, 28 669, 13 987, 14 682, 179
428,160700004004,"Arnstadt, Stadt",99310,  104.99, 28 615, 14 628, 13 987, 273
429,082165002007,"Bühl, Stadt",77815,  73.18, 28 608, 13 960, 14 648, 391
430,053700012012,"Geilenkirchen, Stadt",52511,  83.16, 28 494, 14 288, 14 206, 343
431,091840149149,"Unterschleißheim, St",85716,  14.93, 28 482, 14 116, 14 366,1 908
432,064360005005,"Hattersheim am Main, Stadt",65795,  15.80, 28 467, 14 336, 14 131,1 802
433,084365007081,"Wangen im Allgäu, Stadt",88239,  101.35, 28 412, 13 779, 14 633, 280
434,150840590590,"Zeitz, Stadt",06712,  87.74, 28 328, 13 600, 14 728, 323
435,051540032032,"Kevelaer, Stadt",47623,  100.64, 28 296, 13 952, 14 344, 281
436,010620060060,"Reinbek, Stadt",21465,  31.27, 28 274, 13 869, 14 405, 904
437,034590014014,"Bramsche, Stadt",49565,  183.39, 28 220, 13 624, 14 596, 154
438,064360008008,"Kelkheim (Taunus), Stadt",65779,  30.73, 28 175, 13 701, 14 474, 917
439,057620020020,"Höxter, Stadt",37671,  158.16, 28 166, 13 931, 14 235, 178
440,053700040040,"Wegberg, Stadt",41844,  84.34, 28 089, 13 781, 14 308, 333
441,034600006006,"Lohne (Oldenburg), Stadt",49393,  91.11, 28 089, 13 961, 14 128, 308
442,053780016016,"Leichlingen (Rheinland), Blütenstadt",42799,  37.26, 28 078, 13 577, 14 501, 754
443,071310007007,"Bad Neuenahr-Ahrweiler, Stadt",53474,  63.25, 27 961, 13 479, 14 482, 442
444,059540024024,"Schwelm, Stadt",58332,  20.50, 27 953, 13 475, 14 478,1 364
445,066330003003,"Baunatal, Stadt",34225,  38.27, 27 929, 13 423, 14 506, 730
446,097720163163,"Königsbrunn, St",86343,  18.48, 27 879, 13 711, 14 168,1 509
447,064310011011,"Heppenheim (Bergstraße), Kreisstadt",64646,  52.12, 27 864, 13 897, 13 967, 535
448,081175004024,"Geislingen an der Steige, Stadt",73312,  75.83, 27 791, 14 071, 13 720, 366
449,084255005033,"Ehingen (Donau), Stadt",89584,  178.33, 27 764, 13 963, 13 801, 156
450,082265010098,"Wiesloch, Stadt",69168,  30.24, 27 731, 13 797, 13 934, 917
451,120640472472,"Strausberg, Stadt",15344,  67.94, 27 719, 13 211, 14 508, 408
452,120690616616,"Teltow, Stadt",14513,  21.59, 27 682, 13 733, 13 949,1 282
453,059580044044,"Sundern (Sauerland), Stadt",59846,  193.27, 27 654, 13 776, 13 878, 143
454,147290160160,"Grimma, Stadt",04668,  218.23, 27 529, 13 661, 13 868, 126
455,031550011011,"Northeim, Stadt",37154,  145.85, 27 326, 13 304, 14 022, 187
456,091790142142,"Olching, St",82140,  29.92, 27 310, 13 241, 14 069, 913
457,051700028028,"Neukirchen-Vluyn, Stadt",47506,  43.50, 27 140, 13 020, 14 120, 624
458,033610012012,"Verden (Aller), Stadt",27283,  71.70, 27 121, 13 220, 13 901, 378
459,081190091091,"Weinstadt, Stadt",71384,  31.71, 27 074, 13 362, 13 712, 854
460,120690656656,"Werder (Havel), Stadt",14542,  117.12, 27 065, 13 389, 13 676, 231
461,064400005005,"Butzbach, Friedrich-Ludwig-Weidig-Stadt",35510,  106.60, 27 046, 13 541, 13 505, 254
462,091860143143,"Pfaffenhofen a.d.Ilm, St",85276,  92.63, 26 996, 13 338, 13 658, 291
463,053820048048,"Rheinbach, Stadt",53359,  69.72, 26 918, 13 418, 13 500, 386
464,051700012012,"Hamminkeln, Stadt",46499,  164.53, 26 873, 13 244, 13 629, 163
465,082260041041,"Leimen, Stadt",69181,  20.64, 26 873, 13 320, 13 553,1 302
466,120650144144,"Hohen Neuendorf, Stadt",16540,  48.56, 26 857, 13 015, 13 842, 553
467,057700020020,"Lübbecke, Stadt",32312,  65.04, 26 815, 13 258, 13 557, 412
468,082365004040,"Mühlacker, Stadt",75417,  54.32, 26 787, 13 407, 13 380, 493
469,083175001001,"Achern, Stadt",77855,  65.24, 26 733, 13 107, 13 626, 410
470,120650136136,"Hennigsdorf, Stadt",16761,  31.48, 26 677, 13 122, 13 555, 847
471,053780024024,"Overath, Stadt",51491,  68.88, 26 663, 13 110, 13 553, 387
472,094770128128,"Kulmbach, GKSt",95311,  92.77, 26 625, 13 053, 13 572, 287
473,064320023023,"Weiterstadt, Stadt",64331,  34.40, 26 583, 13 594, 12 989, 773
474,081255008065,"Neckarsulm, Stadt",74172,  24.94, 26 431, 13 153, 13 278,1 060
475,057540036036,"Schloß Holte-Stukenbrock, Stadt",33758,  67.52, 26 297, 12 997, 13 300, 389
476,051580012012,"Heiligenhaus, Stadt",42579,  27.52, 26 252, 12 865, 13 387, 954
477,095730134134,"Zirndorf, St",90513,  28.79, 26 243, 12 767, 13 476, 912
478,081180081081,"Remseck am Neckar, Stadt",71686,  22.82, 26 188, 13 057, 13 131,1 148
479,095740138138,"Lauf a.d.Pegnitz, St",91207,  59.86, 26 106, 12 771, 13 335, 436
480,059540032032,"Wetter (Ruhr), Stadt",58300,  31.55, 26 090, 12 779, 13 311, 827
481,091730126126,"Geretsried, St",82538,  24.60, 25 997, 12 932, 13 065,1 057
482,059780032032,"Selm, Stadt",59379,  60.41, 25 969, 12 786, 13 183, 430
483,147300070070,"Delitzsch, Stadt",04509,  85.92, 25 895, 12 689, 13 206, 301
484,034610007007,"Nordenham, Stadt",26954,  87.77, 25 889, 12 917, 12 972, 295
485,064340002002,"Friedrichsdorf, Philipp-Reis-Stadt",61381,  30.13, 25 871, 12 662, 13 209, 859
486,097760116116,"Lindau (Bodensee), GKSt",88131,  33.06, 25 845, 12 321, 13 524, 782
487,057540044044,"Verl, Stadt",33415,  71.37, 25 762, 13 207, 12 555, 361
488,091830148148,"Waldkraiburg, St",84478,  21.56, 25 737, 12 966, 12 771,1 194
489,064390008008,"Idstein, Hochschulstadt",65510,  79.76, 25 736, 12 389, 13 347, 323
490,081265005066,"Öhringen, Stadt",74613,  67.79, 25 673, 12 670, 13 003, 379
491,082375003040,"Horb am Neckar, Stadt",72160,  119.76, 25 651, 12 977, 12 674, 214
492,150890015015,"Aschersleben, Stadt",06449,  156.83, 25 647, 12 319, 13 328, 164
493,032570031031,"Rinteln, Stadt",31737,  109.02, 25 602, 12 603, 12 999, 235
494,057700008008,"Espelkamp, Stadt",32339,  84.21, 25 576, 12 587, 12 989, 304
495,057540016016,"Harsewinkel, Die Mähdrescherstadt",33428,  100.59, 25 523, 12 818, 12 705, 254
496,095760143143,"Roth, St",91154,  96.33, 25 458, 12 526, 12 932, 264
497,100460117117,"St. Wendel, Kreisstadt",66606,  113.54, 25 441, 12 613, 12 828, 224
498,057740036036,"Salzkotten, Stadt",33154,  109.80, 25 429, 12 632, 12 797, 232
499,059580012012,"Brilon, Stadt",59929,  229.16, 25 424, 12 701, 12 723, 111
500,064320018018,"Pfungstadt, Stadt",64319,  42.54, 25 415, 12 476, 12 939, 597
501,150870370370,"Sangerhausen, Stadt",06526,  208.46, 25 392, 12 387, 13 005, 122
502,064330006006,"Groß-Gerau, Stadt",64521,  54.47, 25 388, 12 702, 12 686, 466
503,073390005005,"Bingen am Rhein, Stadt",55411,  37.68, 25 384, 12 545, 12 839, 674
504,010590075075,"Schleswig, Stadt",24837,  24.30, 25 352, 12 395, 12 957,1 043
505,057700028028,"Petershagen, Stadt",32469,  211.94, 25 340, 12 645, 12 695, 120
506,147290260260,"Markkleeberg, Stadt",04416,  31.47, 25 331, 12 057, 13 274, 805
507,053620004004,"Bedburg, Stadt",50181,  80.42, 25 316, 12 407, 12 909, 315
508,064380010010,"Obertshausen, Stadt",63179,  13.62, 25 316, 12 530, 12 786,1 859
509,146260610610,"Zittau, Stadt, Hochschulstadt",02763,  66.75, 25 286, 12 540, 12 746, 379
510,032510041041,"Syke, Stadt",28857,  128.11, 25 270, 12 393, 12 877, 197
511,055580024024,"Lüdinghausen, Stadt",59348,  140.54, 25 265, 12 428, 12 837, 180
512,082150109109,"Stutensee, Stadt",76297,  45.68, 25 259, 12 741, 12 518, 553
513,034520019019,"Norden, Stadt",26506,  106.33, 25 178, 12 211, 12 967, 237
514,053740048048,"Wiehl, Stadt",51674,  53.26, 25 164, 12 295, 12 869, 472
515,031540028028,"Helmstedt, Stadt",38350,  66.74, 25 099, 12 335, 12 764, 376
516,120630252252,"Rathenow, Stadt",14712,  113.10, 25 087, 12 120, 12 967, 222
517,053820008008,"Bad Honnef, Stadt",53604,  48.14, 25 061, 12 032, 13 029, 521
518,083375007126,"Waldshut-Tiengen, Stadt",79761,  77.96, 25 019, 12 282, 12 737, 321
519,160665050042,"Meiningen, Stadt",98617,  123.03, 25 002, 12 249, 12 753, 203
520,082355006085,"Calw, Stadt",75365,  59.88, 25 001, 12 531, 12 470, 418
521,081365003019,"Ellwangen (Jagst), Stadt",73479,  127.38, 25 001, 12 567, 12 434, 196
522,059740044044,"Warstein, Stadt",59581,  158.05, 24 988, 12 548, 12 440, 158
523,083255003049,"Rottweil, Stadt",78628,  71.76, 24 985, 12 286, 12 699, 348
524,084365005082,"Weingarten, Stadt",88250,  12.16, 24 940, 11 965, 12 975,2 051
525,053820032032,"Meckenheim, Stadt",53340,  34.84, 24 925, 12 123, 12 802, 715
526,160730076076,"Rudolstadt, Stadt",07407,  135.17, 24 852, 12 007, 12 845, 184
527,010620004004,"Bad Oldesloe, Stadt",23843,  52.59, 24 846, 12 220, 12 626, 472
528,059580040040,"Schmallenberg, Stadt",57392,  303.10, 24 711, 12 410, 12 301, 82
529,034550026026,"Varel, Stadt",26316,  113.75, 24 704, 12 055, 12 649, 217
530,120670120120,"Eisenhüttenstadt, Stadt",15890,  63.47, 24 703, 12 195, 12 508, 389
531,059660024024,"Olpe, Stadt",57462,  85.88, 24 695, 12 230, 12 465, 288
532,091880139139,"Starnberg, St",82319,  61.85, 24 471, 11 658, 12 813, 396
533,082375002028,"Freudenstadt, Stadt",72250,  87.54, 24 464, 11 942, 12 522, 279
534,082255005058,"Mosbach, Stadt",74821,  62.16, 24 459, 12 262, 12 197, 393
535,059620052052,"Plettenberg, Stadt",58840,  96.75, 24 429, 12 308, 12 121, 252
536,034540018018,"Haren (Ems), Stadt",49733,  208.79, 24 365, 12 276, 12 089, 117
537,053700028028,"Übach-Palenberg, Stadt",52531,  26.09, 24 277, 12 133, 12 144, 931
538,059660020020,"Lennestadt, Stadt",57368,  135.59, 24 238, 12 148, 12 090, 179
539,095720132132,"Herzogenaurach, St",91074,  47.62, 24 237, 12 114, 12 123, 509
540,059540028028,"Sprockhövel, Stadt",45549,  47.94, 24 232, 11 834, 12 398, 505
541,084365004055,"Leutkirch im Allgäu, Stadt",88299,  174.97, 24 226, 12 186, 12 040, 138
542,150820180180,"Köthen (Anhalt), Stadt",06366,  77.85, 24 110, 11 822, 12 288, 310
543,010540056056,"Husum, Stadt",25813,  25.80, 24 090, 11 572, 12 518, 934
544,081285001007,"Bad Mergentheim, Stadt",97980,  129.96, 24 023, 11 768, 12 255, 185
545,034510007007,"Westerstede, Stadt",26655,  179.55, 23 938, 11 805, 12 133, 133
546,051620012012,"Jüchen, Stadt",41363,  71.77, 23 926, 11 758, 12 168, 333
547,082355007046,"Nagold, Stadt",72202,  63.10, 23 864, 11 832, 12 032, 378
548,145220080080,"Döbeln, Stadt",04720,  91.75, 23 819, 11 803, 12 016, 260
549,032410014014,"Ronnenberg, Stadt",30952,  37.82, 23 814, 11 838, 11 976, 630
550,145245114180,"Limbach-Oberfrohna, Stadt",09212,  50.21, 23 673, 11 595, 12 078, 471
551,097750152152,"Senden, St",89250,  25.21, 23 641, 11 573, 12 068, 938
552,059660004004,"Attendorn, Hansestadt",57439,  97.92, 23 554, 11 816, 11 738, 241
553,010600044044,"Kaltenkirchen, Stadt",24568,  23.11, 23 502, 11 479, 12 023,1 017
554,031590017017,"Hann. Münden, Stadt",34346,  121.17, 23 478, 11 651, 11 827, 194
555,120660304304,"Senftenberg/Zły Komorow, Stadt",01968,  127.56, 23 466, 11 288, 12 178, 184
556,032410016016,"Sehnde, Stadt",31319,  103.58, 23 431, 11 834, 11 597, 226
557,097720147147,"Gersthofen, St",86368,  34.01, 23 427, 11 593, 11 834, 689
558,064350010010,"Gelnhausen, Barbarossastadt, Kreisstadt",63571,  45.15, 23 290, 11 398, 11 892, 516
559,091900157157,"Weilheim i.OB, St",82362,  55.50, 23 279, 11 312, 11 967, 419
560,057620036036,"Warburg, Hansestadt",34414,  168.84, 23 252, 11 536, 11 716, 138
561,096720114114,"Bad Kissingen, GKSt",97688,  69.92, 23 223, 10 834, 12 389, 332
562,150890310310,"Staßfurt, Stadt",39418,  147.18, 23 181, 11 243, 11 938, 158
563,084155002050,"Metzingen, Stadt",72555,  34.55, 23 178, 11 386, 11 792, 671
564,064330011011,"Riedstadt, Büchnerstadt",64560,  73.73, 23 146, 11 638, 11 508, 314
565,150850235235,"Quedlinburg, Welterbestadt",06484,  120.79, 23 139, 11 043, 12 096, 192
566,033570039039,"Rotenburg (Wümme), Stadt",27356,  99.06, 23 117, 11 394, 11 723, 233
567,064360001001,"Bad Soden am Taunus, Stadt",65812,  12.50, 23 103, 11 121, 11 982,1 848
568,055540068068,"Vreden, Stadt",48691,  135.83, 23 099, 11 806, 11 293, 170
569,059700032032,"Netphen, Stadt",57250,  137.39, 23 080, 11 501, 11 579, 168
570,065320006006,"Dillenburg, Oranienstadt",35683,  83.76, 22 974, 11 479, 11 495, 274
571,150810455455,"Salzwedel, Hansestadt",29410,  306.15, 22 964, 11 346, 11 618, 75
572,096750141141,"Kitzingen, GKSt",97318,  46.99, 22 936, 11 436, 11 500, 488
573,097720184184,"Neusäß, St",86356,  25.22, 22 904, 11 033, 11 871, 908
574,066350015015,"Korbach, Hansestadt, Kreisstadt",34497,  124.11, 22 901, 11 089, 11 812, 185
575,081280131131,"Wertheim, Stadt",97877,  138.59, 22 874, 11 404, 11 470, 165
576,160720018018,"Sonneberg, Stadt",96515,  84.69, 22 843, 11 141, 11 702, 270
577,084265005070,"Laupheim, Stadt",88471,  61.79, 22 839, 11 426, 11 413, 370
578,160710001001,"Apolda, Stadt",99510,  46.26, 22 787, 11 241, 11 546, 493
579,059540020020,"Herdecke, Stadt",58313,  22.39, 22 772, 10 766, 12 006,1 017
580,084355007059,"Überlingen, Stadt",88662,  58.64, 22 735, 10 614, 12 121, 388
581,081255002006,"Bad Rappenau, Stadt",74906,  73.56, 22 703, 11 172, 11 531, 309
582,034530007007,"Friesoythe, Stadt",26169,  247.50, 22 685, 11 468, 11 217, 92
583,081255004026,"Eppingen, Stadt",75031,  88.58, 22 666, 11 384, 11 282, 256
584,081180011011,"Ditzingen, Stadt",71254,  30.38, 22 666, 11 055, 11 611, 746
